session_id	query_text	serp_pos	url	is_click	total_view_time
503100	1354	6	445218	False	-1
503100	1354	7	386929	False	-1
503100	1354	8	551265	False	-1
503100	1354	9	476444	False	-1
431425	1354	0	402049	True	10974
431425	1354	1	468805	False	-1
431425	1354	2	488245	False	-1
431425	1354	3	517364	False	-1
431425	1354	4	459463	False	-1
431425	1354	5	238653	False	-1
431425	1354	6	445218	False	-1
431425	1354	7	386929	False	-1
431425	1354	8	551265	False	-1
431425	1354	9	476444	False	-1
280711	1354	0	402049	True	22
280711	1354	1	468805	False	-1
280711	1354	2	488245	False	-1
280711	1354	3	517364	False	-1
280711	1354	4	459463	False	-1
280711	1354	5	238653	False	-1
280711	1354	6	445218	False	-1
280711	1354	7	386929	False	-1
280711	1354	8	551265	False	-1
280711	1354	9	476444	False	-1
183314	1354	0	402049	True	2528
183314	1354	1	468805	False	-1
183314	1354	2	488245	False	-1
183314	1354	3	517364	False	-1
183314	1354	4	459463	False	-1
183314	1354	5	238653	False	-1
183314	1354	6	445218	False	-1
183314	1354	7	386929	False	-1
183314	1354	8	551265	False	-1
183314	1354	9	476444	False	-1
49694	1354	0	402049	True	11148
49694	1354	1	468805	True	2064
49694	1354	2	488245	True	28
49694	1354	3	517364	False	-1
49694	1354	4	459463	False	-1
49694	1354	5	238653	True	-1
49694	1354	6	445218	False	-1
49694	1354	7	386929	False	-1
49694	1354	8	551265	False	-1
49694	1354	9	476444	False	-1
458682	1354	0	402049	True	10814
458682	1354	1	468805	False	-1
458682	1354	2	488245	False	-1
458682	1354	3	517364	False	-1
458682	1354	4	459463	False	-1
458682	1354	5	238653	False	-1
458682	1354	6	445218	False	-1
458682	1354	7	386929	False	-1
458682	1354	8	551265	False	-1
458682	1354	9	476444	False	-1
159870	1354	0	402049	True	10160
159870	1354	1	468805	False	-1
159870	1354	2	488245	False	-1
159870	1354	3	517364	False	-1
159870	1354	4	459463	False	-1
159870	1354	5	238653	False	-1
159870	1354	6	445218	False	-1
159870	1354	7	386929	False	-1
159870	1354	8	551265	False	-1
159870	1354	9	476444	False	-1
237953	1354	0	402049	True	5680
237953	1354	1	468805	False	-1
237953	1354	2	488245	False	-1
237953	1354	3	517364	False	-1
237953	1354	4	459463	False	-1
237953	1354	5	238653	False	-1
237953	1354	6	445218	False	-1
237953	1354	7	386929	False	-1
237953	1354	8	476444	False	-1
237953	1354	9	14832	False	-1
125909	1354	0	402049	True	52
125909	1354	1	468805	False	-1
125909	1354	2	488245	False	-1
125909	1354	3	517364	False	-1
125909	1354	4	459463	False	-1
125909	1354	5	238653	False	-1
125909	1354	6	445218	False	-1
125909	1354	7	386929	False	-1
125909	1354	8	551265	False	-1
125909	1354	9	476444	False	-1
460352	1354	0	402049	True	96
460352	1354	1	468805	False	-1
460352	1354	2	488245	False	-1
460352	1354	3	517364	False	-1
460352	1354	4	459463	False	-1
460352	1354	5	238653	False	-1
460352	1354	6	445218	False	-1
460352	1354	7	386929	False	-1
460352	1354	8	551265	False	-1
460352	1354	9	476444	False	-1
222406	1354	0	402049	True	3400
222406	1354	1	468805	True	-1
222406	1354	2	488245	False	-1
222406	1354	3	517364	False	-1
222406	1354	4	459463	False	-1
222406	1354	5	238653	False	-1
222406	1354	6	445218	False	-1
222406	1354	7	386929	False	-1
222406	1354	8	551265	False	-1
222406	1354	9	476444	False	-1
84225	1354	0	402049	True	4412
84225	1354	1	468805	False	-1
84225	1354	2	488245	False	-1
84225	1354	3	517364	False	-1
84225	1354	4	459463	False	-1
84225	1354	5	238653	False	-1
84225	1354	6	445218	False	-1
84225	1354	7	386929	False	-1
84225	1354	8	476444	False	-1
84225	1354	9	14832	False	-1
